time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,2.0,6.0,2.2411265432098766,2.0,3.0,5184,1.0,1.1714285714285715,1.0470899470899473,1.0,1.1714285714285715,12,1.0,1.171720523769388,1.0471201488922115,1.0,1.1717205237693877,12,5852.448113262653
1,300000000000,2.0,6.0,2.2418981481481484,2.0,3.0,5184,1.0,1.1111111111111112,1.037037037037037,1.0,1.1111111111111112,6,1.0,1.1107893646440075,1.036929788214669,1.0,1.1107893646440075,6,5527.066469192505
2,600000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,3.0,1.8455988455988457,1.7272727272727273,3.0,12,1.0,3.0267227118127242,1.8559370512389097,1.735404194708045,3.026722711812724,12,5579.184375703335
3,900000000000,2.0,6.0,2.239969135802469,2.0,3.0,5184,1.0,1.054054054054054,1.0090090090090091,1.0,1.054054054054054,12,1.0,1.0536988750153333,1.0089498125025556,1.0,1.0536988750153333,12,5553.022645413876
4,1200000000000,2.0,6.0,2.2417052469135803,2.0,3.0,5184,1.0,1.375,1.0625,1.0,1.28125,6,1.0,1.3765054667847156,1.062750911130786,1.0,1.2823791000885367,6,5552.063651382923
5,1500000000000,2.0,6.0,2.2415123456790123,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,6,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000002,6,5519.54659819603
6,1800000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,1.7142857142857142,1.1254542357483532,1.0,1.7142857142857142,16,0.9999999999999999,1.7155424523692242,1.1256242110072092,1.0,1.715542452369223,16,5500.734955072403
7,2100000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,4.846153846153846,1.8550415800415798,1.054054054054054,4.846153846153846,10,0.9999999999999999,4.929072955280975,1.8718413680314672,1.053488326252154,4.929072955280975,10,5575.9531036019325
8,2400000000000,2.0,6.0,2.2391975308641974,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,2,5565.4594749212265
9,2700000000000,2.0,6.0,2.2390046296296298,2.0,3.0,5184,1.0,4.846153846153846,2.063736263736264,1.0,4.846153846153846,14,1.0,4.895393133045962,2.0791423933975395,1.0,4.895393133045962,14,5469.761185348034
10,3000000000000,2.0,6.0,2.2391975308641974,2.0,3.0,5184,1.0,1.375,1.143018018018018,1.054054054054054,1.375,6,1.0,1.3764678043053529,1.1433211060592035,1.053495513872258,1.3764678043053529,6,5509.77099686861
11,3300000000000,2.0,6.0,2.2418981481481484,2.0,3.0,5184,1.0,6.6,1.56,1.0,4.079999999999994,10,1.0,6.719085567578197,1.5719085567578197,1.0,4.145497062168002,10,5419.941164553165
12,3600000000000,2.0,6.0,2.239776234567901,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,8,0.9999999999999999,1.0,1.0,1.0,1.0,8,5416.3298681378365
13,3900000000000,2.0,6.0,2.2415123456790123,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2,5392.365090548992
14,4200000000000,2.0,6.0,2.2417052469135803,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,5421.952165663242
15,4500000000000,2.0,6.0,2.2415123456790123,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,18,0.9999999999999998,1.0,1.0,1.0,1.0,18,5407.5014144182205
16,4800000000000,2.0,6.0,2.2426697530864197,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,5397.8245705366135
17,5100000000000,2.0,6.0,2.2424768518518516,2.0,3.0,5184,1.0,2.619047619047619,1.4047619047619047,1.0,2.3761904761904757,4,1.0,2.6374704606932173,1.4093676151733043,1.0,2.391849891589234,4,5416.550815105438
18,5400000000000,2.0,6.0,2.240740740740741,2.0,3.0,5184,1.0,2.619047619047619,1.17989417989418,1.0,2.619047619047619,18,1.0,2.6324024005927487,1.1813780445103055,1.0,2.6324024005927487,18,5451.6585022211075
19,5700000000000,2.0,6.0,2.239969135802469,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,1.0,1.0,8,5383.135668933392
20,6000000000000,2.0,6.0,2.2409336419753085,2.0,3.0,5184,1.0,5.333333333333333,2.444444444444444,1.0,5.333333333333333,6,1.0,5.383590991282939,2.461196997094313,1.0,5.383590991282939,6,5436.305448412895
21,6300000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,3.0,1.7238095238095237,1.0,3.0,10,1.0,3.0155785887975073,1.7300387101788743,1.0,3.0155785887975073,10,5393.747754395008
22,6600000000000,2.0,6.0,2.240162037037037,2.0,3.0,5184,1.0,1.054054054054054,1.0135135135135136,1.0,1.054054054054054,8,1.0,1.0535683433488165,1.013392085837204,1.0,1.0535683433488165,8,5437.3786970973015
23,6900000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,5447.884388267994
24,7200000000000,2.0,6.0,2.2378472222222223,2.0,3.0,5184,1.0,4.066666666666666,1.6241441441441442,1.0,4.066666666666666,10,1.0,4.116610584473164,1.6340578125384635,1.0,4.116610584473163,10,5466.910310089588
25,7500000000000,2.0,6.0,2.240354938271605,2.0,3.0,5184,1.0,1.054054054054054,1.018018018018018,1.0,1.054054054054054,6,1.0,1.0535207317927893,1.0178402439309295,1.0,1.0535207317927893,6,5438.181109726429
26,7800000000000,2.0,6.0,2.2413194444444446,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,8,5411.205507814884
27,8100000000000,2.0,6.0,2.2409336419753085,2.0,3.0,5184,1.0,1.054054054054054,1.0135135135135136,1.0,1.054054054054054,8,0.9999999999999998,1.0537019589589642,1.013425489739741,1.0,1.053701958958964,8,5525.255270302296
28,8400000000000,2.0,6.0,2.2418981481481484,2.0,3.0,5184,1.0,4.846153846153846,2.706373626373627,2.619047619047619,4.846153846153846,10,1.0,4.9229395187051095,2.733844101496475,2.6338635256185157,4.9229395187051095,10,5555.130027234554
29,8700000000000,2.0,6.0,2.2411265432098766,2.0,3.0,5184,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,2,1.111100669185523,1.1111006691855232,1.111100669185523,1.111100669185523,1.1111006691855232,2,5501.549616456032
30,9000000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,6.6,1.651851851851852,1.0,4.446666666666663,18,1.0,6.7506119454205376,1.6657521351559275,1.0,4.511585548952193,18,5527.98093855381
31,9300000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,12,5491.207279264927
32,9600000000000,2.0,6.0,2.240162037037037,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,5533.990271389484
33,9900000000000,2.0,6.0,2.2391975308641974,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,5473.150663077831
34,10200000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,12,0.9999999999999999,1.0,1.0,1.0,1.0,12,5509.026274085045
35,10500000000000,2.0,6.0,2.2426697530864197,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,4,5443.225897848606
36,10800000000000,2.0,6.0,2.238425925925926,2.0,3.0,5184,1.0,2.619047619047619,1.3238095238095238,1.0,2.619047619047619,10,1.0,2.635985744085451,1.32719714881709,1.0,2.6359857440854504,10,5457.134038209915
37,11100000000000,2.0,6.0,2.2393904320987654,2.0,3.0,5184,1.0,1.2352941176470589,1.0392156862745097,1.0,1.2352941176470589,12,1.0,1.2356299529086623,1.0392716588181103,1.0,1.235629952908662,12,5471.493750810623
38,11400000000000,2.0,6.0,2.2413194444444446,2.0,3.0,5184,1.0,3.0,1.8636363636363638,1.7272727272727273,3.0,8,1.0,3.0199326481059594,1.8715542429932401,1.7331421619335006,3.0199326481059594,8,5515.184700489044
39,11700000000000,2.0,6.0,2.2393904320987654,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,10,1.0,1.0,1.0,1.0,1.0,10,5462.401889264584
40,12000000000000,2.0,6.0,2.240547839506173,2.0,3.0,5184,1.0,1.2352941176470589,1.0470588235294116,1.0,1.2352941176470589,10,1.0,1.235683537401899,1.0471367074803797,1.0,1.235683537401899,10,5459.029898047447
41,12300000000000,2.0,6.0,2.2418981481481484,2.0,3.0,5184,1.0,1.1111111111111112,1.0277777777777777,1.0,1.0944444444444446,4,1.0,1.1110869327800947,1.0277717331950238,1.0,1.0944238928630805,4,5440.1058331131935
42,12600000000000,2.0,6.0,2.2413194444444446,2.0,3.0,5184,1.0,1.0,1.0,1.0,1.0,14,1.0,1.0,1.0,1.0,1.0,14,5450.877696275711
